Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1",0402,2,18pF,C1549
"C10_2, C10, C17_2, C17, C9_2, C9",0603,6,1uF,C15849
"C11_2, C11, C18_2, C18, C7_2, C7",0603,6,100nF,C14663
"C12_2, C12, C13_2, C13, C14_2, C14, C15_2, C15, C21_2, C21, C22_2, C22, C23_2, C23, C24_2, C24, C3_2, C3, C8_2, C8",0603,20,2.2nF Tuned VHF,C2168957
"C16_2, C16, C2_2, C2",CP_EIA-3528-21_Kemet-B,4,100uF 6.3v,C16133
"C19_2, C19, C20_2, C20",0805,4,10uF,C15850
"C27_2, C27",0402,2,2.7pF,C1561
"C29_2, C29",0402,2,13pF,C393681
"C31_2, C31",0402,2,11pF,C527000
"C4_2, C4",0402,2,16pF,C77590
"C5_2, C5",0402,2,10pF,C32949
"C6_2, C6",0402,2,5.1pF,C60220
"D1_2, D1",LED_WS2812B-2020_PLCC4_2.0x2.0mm,2,SK6812-EC20,C2909058
"D3_2, D3, D4_2, D4",0603,4,Red,C2286
"F1_2, F1, F2_2, F2",0603,4,100mA,C369142
"FB1_2, FB1",0603,2,"Ferrite Bead, 1A",C160982
"J1_2, J1",SMA_Amphenol_901-143_Horizontal,2,Antenna,C496551
"J5_2, J5",USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,2,USB-C Socket,C2894897
"KIKIT_FID_B_1, KIKIT_FID_B_2, KIKIT_FID_B_3, KIKIT_FID_B_4, KIKIT_FID_T_1, KIKIT_FID_T_2, KIKIT_FID_T_3, KIKIT_FID_T_4",Fiducial,8,Fiducial,
"KIKIT_TO_1, KIKIT_TO_2, KIKIT_TO_3, KIKIT_TO_4",NPTH,4,NPTH,
"L1_2, L1",0805,2,27nH,C1330812
"L2_2, L2",0805,2,30nH,C3221803
"L3_2, L3",0805,2,43nH,C1330253
"Q1_2, Q1, Q2_2, Q2",SOT-23,4,SS8050,C2150
"Q3_2, Q3",SOT-23,2,AO3400A,C20917
"R1_2, R1, R10_2, R10, R11_2, R11, R12_2, R12, R13_2, R13, R14_2, R14, R2_2, R2, R20_2, R20, R9_2, R9",0603,18,10k,C25804
"R15_2, R15, R18_2, R18, R19_2, R19, R3_2, R3, R6_2, R6",0603,10,1.2k,C22765
"R16_2, R16, R21_2, R21",0603,4,100k,C25803
"R4_2, R4, R5_2, R5",0603,4,100R,C22775
"R7_2, R7, R8_2, R8",0603,4,5.1k,C26000
"SW1_2, SW1, SW2_2, SW2",SW-Push-SPST-Horizontal-C455252,4,PTT,C455252
"SW3_2, SW3",SW_SPST_TL3342,2,Reset,C318884
"SW4_2, SW4",SW_SPST_TL3342,2,Program,C318884
"U2_2, U2",SOT-223-3_TabPin2,2,AZ1117H-3.3TRG1,C110474
"U4_2, U4",QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,2,CP2102N-A02-GQFN24,C969151
"U5_2, U5",ESP32-WROOM-32D,2,ESP32-WROOM-32E-N4,C701341
