Designator,Mid X,Mid Y,Rotation,Layer
C1_2,60.245001,-13.4775,90.0,top
C1,17.145,-13.4775,90.0,top
C10_2,25.4,-42.1795,90.0,top
C10,68.500001,-42.1795,90.0,top
C11_2,19.05,-43.8305,0.0,top
C11,62.150001,-43.8305,0.0,top
C12_2,23.495,-42.1795,270.0,top
C12,66.595001,-42.1795,270.0,top
C13_2,58.975001,-42.1795,270.0,top
C13,15.875,-42.1795,270.0,top
C14_2,36.322,-16.7795,180.0,top
C14,79.422001,-16.7795,180.0,top
C15_2,1.905,-16.5255,180.0,top
C15,45.005001,-16.5255,180.0,top
C16_2,9.0035,-76.7235,0.0,top
C16,52.103501,-76.7235,0.0,top
C17_2,66.595001,-81.2955,0.0,top
C17,23.495,-81.2955,0.0,top
C18_2,22.86,-79.0755,90.0,top
C18,65.960001,-79.0755,90.0,top
C19_2,24.765,-79.0755,270.0,top
C19,67.865001,-79.0755,270.0,top
C2_2,9.652,-42.6875,90.0,top
C2,52.752001,-42.6875,90.0,top
C20_2,9.525,-88.2805,0.0,top
C20,52.625001,-88.2805,0.0,top
C21_2,9.525,-52.7205,90.0,top
C21,52.625001,-52.7205,90.0,top
C22_2,70.405001,-58.4355,270.0,top
C22,27.305,-58.4355,270.0,top
C23_2,69.770001,-42.1795,270.0,top
C23,26.67,-42.1795,270.0,top
C24_2,76.882001,-13.2235,90.0,top
C24,33.782,-13.2235,90.0,top
C27_2,19.304,-11.5725,225.0,top
C27,62.404001,-11.5725,225.0,top
C29_2,58.086001,-11.5725,135.0,top
C29,14.986,-11.5725,135.0,top
C3_2,45.640001,-38.8775,0.0,top
C3,2.54,-38.8775,0.0,top
C31_2,49.958001,-11.3185,225.0,top
C31,6.858,-11.3185,225.0,top
C4_2,10.795,-11.9535,90.0,top
C4,53.895001,-11.9535,90.0,top
C5_2,65.960001,-12.4615,90.0,top
C5,22.86,-12.4615,90.0,top
C6_2,6.576,-14.4935,180.0,top
C6,49.676001,-14.4935,180.0,top
C7_2,50.339001,-41.9255,270.0,top
C7,7.239,-41.9255,270.0,top
C8_2,49.069001,-16.1445,270.0,top
C8,5.969,-16.1445,270.0,top
C9_2,19.939,-75.8345,180.0,top
C9,63.039001,-75.8345,180.0,top
D1_2,62.150001,-41.9255,180.0,top
D1,19.05,-41.9255,180.0,top
D3_2,66.468001,-45.2275,180.0,top
D3,23.368,-45.2275,180.0,top
D4_2,57.832001,-45.2275,0.0,top
D4,14.732,-45.2275,0.0,top
F1_2,71.294001,-64.0235,270.0,top
F1,28.194,-64.0235,270.0,top
F2_2,28.956,-47.1325,270.0,top
F2,72.056001,-47.1325,270.0,top
FB1_2,27.305,-80.0255,180.0,top
FB1,70.405001,-80.0255,180.0,top
J1_2,71.675001,-11.8265,0.0,top
J1,28.575,-11.8265,0.0,top
J5_2,62.150001,-87.0105,0.0,top
J5,19.05,-87.0105,0.0,top
KIKIT_FID_B_1,12.0,-5.0,180.0,bottom
KIKIT_FID_B_2,69.200001,-5.0,180.0,bottom
KIKIT_FID_B_3,12.0,-91.551499,180.0,bottom
KIKIT_FID_B_4,69.200001,-91.551499,180.0,bottom
KIKIT_FID_T_1,12.0,-5.0,0.0,top
KIKIT_FID_T_2,69.200001,-5.0,0.0,top
KIKIT_FID_T_3,12.0,-91.551499,0.0,top
KIKIT_FID_T_4,69.200001,-91.551499,0.0,top
KIKIT_TO_1,5.0,-2.5,0.0,top
KIKIT_TO_2,76.200001,-2.5,0.0,top
KIKIT_TO_3,5.0,-94.051499,0.0,top
KIKIT_TO_4,76.200001,-94.051499,0.0,top
L1_2,50.720001,-12.0805,225.0,top
L1,7.62,-12.0805,225.0,top
L2_2,57.070001,-12.0805,135.0,top
L2,13.97,-12.0805,135.0,top
L3_2,63.420001,-12.0805,225.0,top
L3,20.32,-12.0805,225.0,top
Q1_2,31.75,-80.0255,270.0,top
Q1,74.850001,-80.0255,270.0,top
Q2_2,31.75,-86.3755,90.0,top
Q2,74.850001,-86.3755,90.0,top
Q3_2,51.990001,-46.8785,0.0,top
Q3,8.89,-46.8785,0.0,top
R1_2,14.859,-76.2155,180.0,top
R1,57.959001,-76.2155,180.0,top
R10_2,31.115,-83.2005,270.0,top
R10,74.215001,-83.2005,270.0,top
R11_2,32.385,-83.2005,90.0,top
R11,75.485001,-83.2005,90.0,top
R12_2,50.085001,-52.7205,90.0,top
R12,6.985,-52.7205,90.0,top
R13_2,70.405001,-55.8955,90.0,top
R13,27.305,-55.8955,90.0,top
R14_2,32.385,-42.5605,180.0,top
R14,75.485001,-42.5605,180.0,top
R15_2,20.828,-45.3545,0.0,top
R15,63.928001,-45.3545,0.0,top
R16_2,36.195,-59.7055,180.0,top
R16,79.295001,-59.7055,180.0,top
R18_2,72.310001,-60.7215,0.0,top
R18,29.21,-60.7215,0.0,top
R19_2,32.258,-60.7215,180.0,top
R19,75.358001,-60.7215,180.0,top
R2_2,31.242,-16.7795,180.0,top
R2,74.342001,-16.7795,180.0,top
R20_2,17.272,-45.3545,180.0,top
R20,60.372001,-45.3545,180.0,top
R21_2,36.195,-60.9755,0.0,top
R21,79.295001,-60.9755,0.0,top
R3_2,33.782,-16.7795,180.0,top
R3,76.882001,-16.7795,180.0,top
R4_2,57.705001,-42.1795,90.0,top
R4,14.605,-42.1795,90.0,top
R5_2,65.325001,-42.1795,90.0,top
R5,22.225,-42.1795,90.0,top
R6_2,69.135001,-82.5655,180.0,top
R6,26.035,-82.5655,180.0,top
R7_2,69.770001,-85.7405,0.0,top
R7,26.67,-85.7405,0.0,top
R8_2,69.770001,-87.0105,0.0,top
R8,26.67,-87.0105,0.0,top
R9_2,8.255,-52.7205,90.0,top
R9,51.355001,-52.7205,90.0,top
SW1_2,1.483,-13.3505,90.0,top
SW1,44.583001,-13.3505,90.0,top
SW2_2,36.598,-13.3505,270.0,top
SW2,79.698001,-13.3505,270.0,top
SW3_2,13.589,-50.1805,90.0,top
SW3,56.689001,-50.1805,90.0,top
SW4_2,67.611001,-50.1805,270.0,top
SW4,24.511,-50.1805,270.0,top
U1_2,19.685,-28.5905,180.0,top
U1,62.785001,-28.5905,180.0,top
U2_2,9.525,-82.5655,270.0,top
U2,52.625001,-82.5655,270.0,top
U4_2,19.05,-79.3905,180.0,top
U4,62.150001,-79.3905,180.0,top
U5_2,15.9,-65.2555,90.0,top
U5,59.000001,-65.2555,90.0,top
