Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,43pF,C3842037
"C10, C17, C9",0603,3,1uF,C15849
"C11, C18, C7",0603,3,100nF,C14663
"C12, C13, C14, C15, C21, C22, C3, C8",0603,8,2.2nF Tuned VHF,C2168957
"C16, C2",CP_EIA-3528-21_Kemet-B,2,100uF 6.3v,C16133
"C19, C20",0805,2,10uF,C15850
"C5, C6",0805,2,24pF,C1806
D1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,SK6812-EC20,C2909058
"D3, D4",0603,2,Red,C2286
FB1,0603,1,"Ferrite Bead, 1A",C160982
J1,SMA_Amphenol_901-143_Horizontal,1,Antenna,C496551
J4,PinHeader_2x03_P2.54mm_Vertical_SMD,1,SAO v.69bis,C192301
J5,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB-C Socket,C2894897
J6,PinHeader_2x04_P2.54mm_Vertical_SMD,1,GPIO Header,C192300
"L1, L3",0805,2,75nH,C2044773
L2,0603,1,83nH,C2043775
"Q1, Q2",SOT-23,2,SS8050,C2150
Q3,SOT-23,1,AO3400A,C20917
"R1, R10, R11, R12, R13, R14, R2, R9",0603,8,10k,C25804
R15,0603,1,470R,C25241
"R16, R3, R6",0603,3,1k,C21190
"R4, R5",0603,2,100R,C22775
"R7, R8",0603,2,5.1k,C26000
"SW1, SW2",SW-Push-SPST-Horizontal-C381061,2,PTT,C381061
SW3,SW_SPST_TL3342,1,Reset,C318884
SW4,SW_SPST_TL3342,1,Program,C318884
U2,SOT-223-3_TabPin2,1,AZ1117H-3.3TRG1,C110474
U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-A02-GQFN24,C969151
U5,ESP32-WROOM-32D,1,ESP32-WROOM-32E,C701341
