Designator,Mid X,Mid Y,Rotation,Layer
C1_2,17.145,-13.4775,90.0,top
C1,60.245,-13.4775,90.0,top
C10_2,68.5,-41.9255,90.0,top
C10,25.4,-41.9255,90.0,top
C11_2,19.05,-44.4655,0.0,top
C11,62.15,-44.4655,0.0,top
C12_2,66.595,-41.9255,270.0,top
C12,23.495,-41.9255,270.0,top
C13_2,15.875,-41.9255,270.0,top
C13,58.975,-41.9255,270.0,top
C14_2,77.771,-13.3505,90.0,top
C14,34.671,-13.3505,90.0,top
C15_2,46.529,-13.3505,90.0,top
C15,3.429,-13.3505,90.0,top
C16_2,9.0035,-76.7235,0.0,top
C16,52.1035,-76.7235,0.0,top
C17_2,23.495,-81.2955,0.0,top
C17,66.595,-81.2955,0.0,top
C18_2,65.96,-79.0755,90.0,top
C18,22.86,-79.0755,90.0,top
C19_2,24.765,-79.0755,270.0,top
C19,67.865,-79.0755,270.0,top
C2_2,10.16,-41.9255,90.0,top
C2,53.26,-41.9255,90.0,top
C20_2,9.525,-88.2805,0.0,top
C20,52.625,-88.2805,0.0,top
C21_2,9.525,-52.7205,90.0,top
C21,52.625,-52.7205,90.0,top
C22_2,27.305,-58.4355,270.0,top
C22,70.405,-58.4355,270.0,top
C27_2,19.304,-11.5725,225.0,top
C27,62.404,-11.5725,225.0,top
C29_2,14.986,-11.5725,135.0,top
C29,58.086,-11.5725,135.0,top
C3_2,45.64,-39.3855,180.0,top
C3,2.54,-39.3855,180.0,top
C31_2,6.858,-11.3185,225.0,top
C31,49.958,-11.3185,225.0,top
C4_2,53.895,-11.9535,90.0,top
C4,10.795,-11.9535,90.0,top
C5_2,65.96,-12.4615,90.0,top
C5,22.86,-12.4615,90.0,top
C6_2,6.576,-14.4935,180.0,top
C6,49.676,-14.4935,180.0,top
C7_2,7.62,-41.2905,270.0,top
C7,50.72,-41.2905,270.0,top
C8_2,5.969,-16.5255,270.0,top
C8,49.069,-16.5255,270.0,top
C9_2,19.939,-75.8345,180.0,top
C9,63.039,-75.8345,180.0,top
D1_2,19.05,-41.9255,180.0,top
D1,62.15,-41.9255,180.0,top
D3_2,66.595,-47.6405,0.0,top
D3,23.495,-47.6405,0.0,top
D4_2,57.705,-47.6405,0.0,top
D4,14.605,-47.6405,0.0,top
F1_2,71.294,-64.0235,270.0,top
F1,28.194,-64.0235,270.0,top
F2_2,72.056,-47.1325,270.0,top
F2,28.956,-47.1325,270.0,top
FB1_2,70.405,-80.0255,180.0,top
FB1,27.305,-80.0255,180.0,top
J1_2,28.575,-7.9765,0.0,top
J1,71.675,-7.9765,0.0,top
J4_2,76.105,-67.3255,0.0,top
J4,33.005,-67.3255,0.0,top
J5_2,19.05,-87.0105,0.0,top
J5,62.15,-87.0105,0.0,top
J6_2,76.105,-53.3555,0.0,top
J6,33.005,-53.3555,0.0,top
KIKIT_FID_B_1,10.0,-2.5,180.0,bottom
KIKIT_FID_B_2,71.2,-2.5,180.0,bottom
KIKIT_FID_B_3,10.0,-94.0515,180.0,bottom
KIKIT_FID_B_4,71.2,-94.0515,180.0,bottom
