Designator,Mid X,Mid Y,Rotation,Layer
C1,146.304,-67.409,90.0,top
C10,152.4,-98.679,90.0,top
C11,146.05,-100.33,0.0,top
C12,150.495,-98.679,270.0,top
C14,161.29,-66.04,90.0,top
C15,128.905,-73.025,180.0,top
C16,136.0035,-133.223,0.0,top
C17,151.511,-135.636,180.0,top
C18,151.511,-137.033,180.0,top
C19,152.4,-140.716,90.0,top
C2,136.652,-99.187,90.0,top
C20,136.525,-144.78,0.0,top
C21,136.525,-109.22,90.0,top
C22,154.305,-114.935,270.0,top
C23,153.67,-98.679,270.0,top
C24,160.782,-69.723,90.0,top
C25,149.225,-136.906,270.0,top
C27,149.479,-66.675,135.0,top
C29,143.129,-66.675,225.0,top
C3,129.54,-95.377,0.0,top
C31,140.335,-66.675,135.0,top
C36,143.002,-136.906,270.0,top
C38,163.195,-73.279,0.0,top
C4,141.732,-68.933,90.0,top
C5,150.876,-68.933,90.0,top
C6,137.16,-67.409,90.0,top
C7,134.239,-98.425,270.0,top
C8,133.096,-72.136,270.0,top
C9,146.939,-132.334,180.0,top
D1,146.05,-98.425,180.0,top
D3,150.368,-101.727,180.0,top
D4,141.732,-101.727,0.0,top
F1,155.194,-120.523,270.0,top
F2,155.956,-103.632,270.0,top
FB1,151.511,-138.303,0.0,top
J1,155.575,-68.326,0.0,top
J5,146.05,-143.51,0.0,top
L1,139.446,-67.564,135.0,top
L2,144.018,-67.564,225.0,top
L3,148.59,-67.564,135.0,top
L7,146.05,-136.906,90.0,top
Q1,160.782,-141.859,90.0,top
Q2,160.782,-135.509,270.0,top
Q3,135.89,-103.378,0.0,top
R1,141.859,-132.715,180.0,top
R10,161.417,-138.684,90.0,top
R11,160.147,-138.684,270.0,top
R12,133.985,-109.22,90.0,top
R13,154.305,-112.395,90.0,top
R14,159.385,-99.06,180.0,top
R15,147.828,-101.854,0.0,top
R16,163.195,-116.205,180.0,top
R18,156.21,-117.221,0.0,top
R19,159.258,-117.221,180.0,top
R2,157.861,-73.279,180.0,top
R20,144.272,-101.854,180.0,top
R21,163.195,-117.475,0.0,top
R23,137.16,-72.39,0.0,top
R24,134.239,-67.945,45.0,top
R3,160.401,-73.279,180.0,top
R5,149.225,-98.679,90.0,top
R7,147.828,-136.906,90.0,top
R8,144.272,-136.906,90.0,top
R9,135.255,-109.22,90.0,top
SW1,128.483,-69.85,90.0,top
SW2,163.598,-69.85,270.0,top
SW3,140.589,-106.68,90.0,top
SW4,151.511,-106.68,270.0,top
U2,136.525,-139.065,270.0,top
U4,155.829,-137.541,0.0,top
U5,142.9,-121.755,90.0,top
