Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,18pF,C1549
"C10, C17, C9",0603,3,1uF,C15849
"C11, C18, C26, C7",0603,4,100nF,C14663
"C13, C21, C22, C23, C24, C3, C8",0603,7,2.2nF Tuned VHF,C2168957
"C14, C19, C20",0805,3,10uF,C15850
"C15, C25",0603,2,100pF,C14858
"C16, C2",CP_EIA-3528-21_Kemet-B,2,100uF 6.3v,C16133
C27,0402,1,2.7pF,C1561
C29,0402,1,13pF,C393681
C31,0402,1,11pF,C527000
C4,0402,1,16pF,C77590
C5,0402,1,10pF,C32949
C6,0402,1,5.1pF,C60220
D2,LED_SK6805_SIDE,1,SK6812SIDE-4020,C2890037
FB1,0603,1,"Ferrite Bead, 1A",C160982
J1,SMA_Amphenol_901-143_Horizontal,1,Antenna,C496551
J5,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB-C Socket,C2894897
L1,0805,1,27nH,C1330812
L2,0805,1,30nH,C3221803
L3,0805,1,43nH,C1330253
"Q1, Q2",SOT-23,2,SS8050,C2150
Q3,SOT-23,1,AO3400A,C20917
"R1, R16, R21",0603,3,100k,C25803
"R10, R11, R13, R2, R9",0603,5,10k,C25804
"R12, R14",0603,2,27R,C25190
"R3, R6",0603,2,1.2k,C22765
R4,0603,1,100R,C22775
"R7, R8",0603,2,5.1k,C26000
SW3,SW_SPST_TL3342,1,Reset,C318884
SW4,SW_SPST_TL3342,1,Program,C318884
U2,SOT-223-3_TabPin2,1,AZ1117H-3.3TRG1,C110474
U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-A02-GQFN24,C969151
U5,ESP32-WROOM-32D,1,ESP32-WROOM-32E-N4,C701341
