Designator,Mid X,Mid Y,Rotation,Layer
C1,262.849,-91.82,0.0,top
C10,227.75,-100.5,270.0,top
C11,193.25,-89.5,270.0,top
C13,196.25,-89.5,270.0,top
C14,211.0,-114.0,90.0,top
C15,199.25,-81.5,180.0,top
C16,192.75,-114.25,0.0,top
C17,203.5,-81.5,270.0,top
C18,200.0,-85.5,270.0,top
C19,201.75,-85.5,90.0,top
C2,233.5,-74.75,0.0,top
C20,222.0,-112.25,90.0,top
C21,228.75,-76.22,0.0,top
C22,209.5,-83.75,90.0,top
C23,229.25,-100.5,90.0,top
C24,229.25,-106.5,90.0,top
C25,199.25,-76.5,180.0,top
C26,205.25,-83.5,270.0,top
C27,264.754,-93.979,135.0,top
C29,264.754,-89.661,45.0,top
C3,241.5,-73.5,0.0,top
C31,265.008,-81.533,135.0,top
C4,264.373,-85.47,0.0,top
C5,263.865,-97.535,0.0,top
C6,261.833,-81.251,90.0,top
C7,237.25,-74.25,90.0,top
C8,259.591,-80.665,180.0,top
C9,224.75,-106.5,270.0,top
D2,190.2875,-89.0,270.0,top
FB1,198.5,-83.75,270.0,top
J1,264.5,-103.25,270.0,top
J5,192.64,-79.0,270.0,top
L1,264.246,-82.295,135.0,top
L2,264.246,-88.645,45.0,top
L3,264.246,-94.995,135.0,top
Q1,217.25,-74.5,180.0,top
Q2,210.25,-74.5,0.0,top
Q3,233.5,-81.5,270.0,top
R1,226.25,-100.5,90.0,top
R10,213.75,-73.5,180.0,top
R11,213.75,-75.5,0.0,top
R12,199.25,-78.25,180.0,top
R13,200.0,-114.25,270.0,top
R14,199.25,-79.75,180.0,top
R16,211.75,-100.25,180.0,top
R2,226.25,-106.5,90.0,top
R21,211.75,-98.75,0.0,top
R3,227.75,-106.5,270.0,top
R4,194.75,-89.5,90.0,top
R6,206.75,-83.5,270.0,top
R7,194.75,-85.0,0.0,top
R8,194.75,-73.0,0.0,top
R9,197.5,-114.25,270.0,top
SW3,228.75,-81.5,90.0,top
SW4,213.25,-81.5,90.0,top
U1,246.25,-94.0,90.0,top
U2,216.5,-112.25,0.0,top
U4,207.0,-79.0,90.0,top
U5,199.43,-103.0,90.0,top
